Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"15P-002, 15P002","David Bazan, Sean Lane (3)",Rare Coins,"15 Passenger, 15 Passenger","LP, Ltd, Gol",,2018,11796829,Uncategorized,2019-02-25 18:20:34,,,
CAD 3014,The Breeders,Last Splash,4AD,"LP, Album, RE",,2018,11851708,Uncategorized,2019-03-02 08:37:09,,,
CAD3430,Merchandise (2),After The End,4AD,"LP, Ltd, Gre",,2014,6024108,Uncategorized,2019-03-03 14:51:46,,,
B0023882-01,Carly Rae Jepsen,E•MO•TION,"604 Records, School Boy Records, Interscope Records","LP, Album",,2015,7627683,Uncategorized,2019-03-02 08:17:21,,,
"abr0050, N11",13 & God,13 & God,"Anticon, Alien Transistor","2xLP, Album",,2005,1576528,Uncategorized,2019-02-25 16:17:20,,,
any 70,Connections (3),Private Airplane,Anyway Records,"LP, Album",,2013,4588937,Uncategorized,2019-03-02 05:35:58,,,
"A&C 001, A&C001",Broken Social Scene,You Forgot It In People,Arts & Crafts,"2xLP, Album, Ltd, RE, Pur",,2015,7551361,Uncategorized,2019-02-25 17:49:57,,,
A&C023,Feist,The Reminder,Arts & Crafts,"LP, Album",,2007,1552685,Uncategorized,2019-03-02 07:11:45,,,
055,Alkaline Trio,Maybe I'll Catch Fire,Asian Man Records,"LP, Album",,1999,1444420,Uncategorized,2019-02-25 17:32:04,,,
AM-034,Alkaline Trio,Goddamnit,Asian Man Records,"LP, Album, Hea",,1998,5545758,Uncategorized,2019-02-25 17:31:03,,,
AKR 014,Sufjan Stevens,Illinois,Asthmatic Kitty Records,"2xLP, Album, RM, CA",,2016,11076713,Uncategorized,2019-03-03 16:30:35,,,
2547746412,Kings Of Convenience,Quiet Is The New Loud,Astralwerks,"LP, Album, Ltd, RE",,2016,8365102,Uncategorized,2019-03-02 08:31:00,,,
ASW 59943,Hot Chip,Boy From School,Astralwerks,"12""",,2006,718057,Uncategorized,2019-03-02 07:30:05,,,
"ASW 18687, ASW 5099951868710, 5099951868710",Hot Chip,Made In The Dark,"Astralwerks, Astralwerks, Astralwerks","LP, Album",,2008,2438534,Uncategorized,2019-03-02 07:32:52,,,
